// Data mode  : Full
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2018/03/15 00:37:28.43,-2608,11310,-11698,-219,-83,438,26,133,-107,-79
,2,2018/03/15 00:37:28.45,-2698,11339,-11713,-174,-160,289,-26,81,-107,-27
,3,2018/03/15 00:37:28.47,-2603,11370,-11565,-76,-196,144,-56,35,-91,10
,4,2018/03/15 00:37:28.49,-2651,11338,-11514,49,-155,-9,-100,-11,-89,55
,5,2018/03/15 00:37:28.51,-2606,11265,-11548,76,-120,-102,-90,6,-96,42
,6,2018/03/15 00:37:28.53,-2626,11157,-11578,75,-161,-121,-128,-32,-96,80
,7,2018/03/15 00:37:28.55,-2633,11102,-11532,-27,-213,-84,-121,-16,-105,68
,8,2018/03/15 00:37:28.57,-2626,11049,-11588,-102,-245,15,-66,51,-117,7
,9,2018/03/15 00:37:28.59,-2741,11110,-11592,-85,-250,88,-42,88,-130,-23
,10,2018/03/15 00:37:28.61,-2673,11153,-11508,-38,-214,153,-14,128,-142,-57
,11,2018/03/15 00:37:28.63,-2693,11179,-11553,-7,-160,173,-21,129,-150,-54
,12,2018/03/15 00:37:28.65,-2645,11235,-11587,-39,-127,131,-8,127,-135,-59
,13,2018/03/15 00:37:28.67,-2682,11085,-11454,-116,-32,153,4,148,-144,-76
,14,2018/03/15 00:37:28.69,-2736,10985,-11494,-98,-25,329,-10,141,-151,-65
,15,2018/03/15 00:37:28.71,-2676,10881,-11498,-89,49,659,-7,139,-146,-66
,16,2018/03/15 00:37:28.73,-2623,10817,-11546,-71,80,1073,-3,140,-143,-68
,17,2018/03/15 00:37:28.75,-2555,10931,-11540,-124,93,1477,-12,129,-141,-58
,18,2018/03/15 00:37:28.77,-2454,10938,-11582,-149,47,1794,-31,124,-155,-46
,19,2018/03/15 00:37:28.79,-2353,11075,-11493,-203,66,2059,-32,141,-173,-54
,20,2018/03/15 00:37:28.81,-2246,11255,-11592,-269,115,2211,-18,141,-159,-61
,21,2018/03/15 00:37:28.83,-2180,11335,-11613,-255,16,2277,-44,103,-147,-29
,22,2018/03/15 00:37:28.85,-2150,11383,-11569,-257,-41,2228,-33,112,-145,-39
,23,2018/03/15 00:37:28.87,-2116,11497,-11474,-201,-87,2162,-30,115,-145,-42
,24,2018/03/15 00:37:28.89,-2039,11547,-11538,-218,-147,1993,-35,107,-142,-36
,25,2018/03/15 00:37:28.91,-1986,11679,-11519,-194,-268,1780,-36,107,-143,-35
,26,2018/03/15 00:37:28.93,-1921,11765,-11499,-195,-350,1478,-29,111,-140,-41
,27,2018/03/15 00:37:28.95,-1869,11925,-11446,-147,-366,1156,-28,113,-141,-42
,28,2018/03/15 00:37:28.97,-1978,11863,-11441,-64,-391,745,-12,128,-140,-58
,29,2018/03/15 00:37:28.99,-1873,11947,-11453,16,-395,377,-19,122,-141,-51
,30,2018/03/15 00:37:29.01,-2005,11884,-11421,70,-356,7,-26,120,-146,-47
,31,2018/03/15 00:37:29.03,-2070,11684,-11259,110,-268,-248,-26,121,-147,-47
,32,2018/03/15 00:37:29.05,-2105,11452,-11260,118,-62,-381,-43,100,-143,-28
,33,2018/03/15 00:37:29.07,-2120,11394,-11296,118,88,-392,-27,120,-147,-46
,34,2018/03/15 00:37:29.09,-2049,11264,-11319,84,241,-328,-22,130,-152,-54
,35,2018/03/15 00:37:29.11,-2020,11346,-11400,66,262,-217,-38,120,-158,-41
,36,2018/03/15 00:37:29.13,-1972,11420,-11474,19,273,-141,-31,113,-144,-41
,37,2018/03/15 00:37:29.15,-1880,11507,-11459,-5,225,-105,-33,98,-131,-32
,38,2018/03/15 00:37:29.17,-1889,11471,-11476,-4,187,-116,-11,106,-117,-47
,39,2018/03/15 00:37:29.19,-1872,11563,-11505,33,101,-176,-5,96,-101,-45
,40,2018/03/15 00:37:29.21,-1904,11534,-11553,76,18,-190,-2,94,-96,-46
,41,2018/03/15 00:37:29.23,-1884,11432,-11561,103,-68,-141,-14,90,-104,-38
,42,2018/03/15 00:37:29.25,-1981,11389,-11455,130,-131,-86,-27,92,-119,-32
