// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,1,2018/03/15 00:39:13.09,-513527193,81648766,89875876,-935129475
,2,2018/03/15 00:39:13.11,-513295516,81609097,89893534,-935258429
,3,2018/03/15 00:39:13.13,-513019207,81536431,89845718,-935420952
,4,2018/03/15 00:39:13.15,-512611044,81396411,89735398,-935667466
,5,2018/03/15 00:39:13.17,-512054364,81201300,89567908,-936005221
,6,2018/03/15 00:39:13.19,-511407807,81004724,89417487,-936390041
,7,2018/03/15 00:39:13.21,-510740732,80830629,89317041,-936778676
,8,2018/03/15 00:39:13.23,-510107029,80625866,89223816,-937150418
,9,2018/03/15 00:39:13.25,-509545920,80428767,89120190,-937482409
,10,2018/03/15 00:39:13.27,-509033208,80282499,88998001,-937785038
,11,2018/03/15 00:39:13.29,-508553734,80208352,88910399,-938059790
,12,2018/03/15 00:39:13.31,-508088333,80153390,88855677,-938321830
,13,2018/03/15 00:39:13.33,-507629551,80097969,88892297,-938571373
,14,2018/03/15 00:39:13.35,-507160868,80033276,89002531,-938819783
,15,2018/03/15 00:39:13.37,-506684819,79988969,89188702,-939062906
,16,2018/03/15 00:39:13.39,-506210394,79955942,89353437,-939305890
,17,2018/03/15 00:39:13.41,-505712957,79915212,89460892,-939567039
,18,2018/03/15 00:39:13.43,-505213493,79866302,89514779,-939834726
,19,2018/03/15 00:39:13.45,-504702083,79854564,89557127,-940106422
,20,2018/03/15 00:39:13.47,-504214732,79848169,89597333,-940364610
,21,2018/03/15 00:39:13.49,-503733257,79825278,89661035,-940618487
,22,2018/03/15 00:39:13.51,-503290671,79775180,89735364,-940852535
,23,2018/03/15 00:39:13.53,-502855514,79719328,89815727,-941082251
,24,2018/03/15 00:39:13.55,-502431795,79636620,89883502,-941309069
,25,2018/03/15 00:39:13.57,-501984035,79530077,89946322,-941550935
,26,2018/03/15 00:39:13.59,-501519187,79384455,89996495,-941806112
,27,2018/03/15 00:39:13.61,-501020367,79205254,90032897,-942083173
,28,2018/03/15 00:39:13.63,-500482146,79022833,90056579,-942382265
,29,2018/03/15 00:39:13.65,-499917529,78790798,90090628,-942698074
,30,2018/03/15 00:39:13.67,-499332714,78586364,90092211,-943024880
,31,2018/03/15 00:39:13.69,-498768407,78457575,90108922,-943332589
,32,2018/03/15 00:39:13.71,-498254650,78408174,90128460,-943606289
,33,2018/03/15 00:39:13.73,-497792889,78358969,90062142,-943860387
,34,2018/03/15 00:39:13.75,-497345065,78197050,89886568,-944126591
,35,2018/03/15 00:39:13.77,-496906892,78157212,89694635,-944378828
,36,2018/03/15 00:39:13.79,-496521095,78276018,89582494,-944582527
,37,2018/03/15 00:39:13.81,-496224923,78470340,89692644,-944711579
,38,2018/03/15 00:39:13.83,-496014212,78581323,89960125,-944787574
,39,2018/03/15 00:39:13.85,-496003824,78628183,90352374,-944751698
,40,2018/03/15 00:39:13.87,-496515123,78585285,90990015,-944425439
,41,2018/03/15 00:39:13.89,-497589286,78403061,91670735,-943809221
,42,2018/03/15 00:39:13.91,-499088111,78118589,92375962,-942972287
,43,2018/03/15 00:39:13.93,-500806122,77822764,93082152,-942015958
,44,2018/03/15 00:39:13.95,-502592936,77583259,93825645,-941009794
,45,2018/03/15 00:39:13.97,-504343818,77308218,94532582,-940024388
,46,2018/03/15 00:39:13.99,-506013854,77012756,95092332,-939094229
,47,2018/03/15 00:39:14.01,-507513043,76780762,95385647,-938274113
,48,2018/03/15 00:39:14.03,-508777158,76709391,95429600,-937590620
,49,2018/03/15 00:39:14.05,-509693543,76724310,95260541,-937108750
,50,2018/03/15 00:39:14.07,-510169871,76804867,94982488,-936871149
,51,2018/03/15 00:39:14.09,-510193860,76933134,94698975,-936876261
,52,2018/03/15 00:39:14.11,-509821496,77090817,94473905,-937088702
,53,2018/03/15 00:39:14.13,-509161085,77249083,94296477,-937452532
,54,2018/03/15 00:39:14.15,-508357009,77342728,94137650,-937897043
,55,2018/03/15 00:39:14.17,-507545801,77328807,94023286,-938348893
,56,2018/03/15 00:39:14.19,-506822417,77232129,93960578,-938754043
,57,2018/03/15 00:39:14.21,-506222426,77063447,93954418,-939092196
,58,2018/03/15 00:39:14.23,-505701846,76885731,94057357,-939376894
,59,2018/03/15 00:39:14.25,-505209464,76712630,94212244,-939640425
,60,2018/03/15 00:39:14.27,-504688569,76538490,94394941,-939916172
,61,2018/03/15 00:39:14.29,-504102334,76334512,94576716,-940229031
,62,2018/03/15 00:39:14.31,-503423682,76149335,94673954,-940597801
,63,2018/03/15 00:39:14.33,-502703045,75920447,94726079,-940996392
,64,2018/03/15 00:39:14.35,-501955950,75695952,94787522,-941407021
,65,2018/03/15 00:39:14.37,-501242341,75492910,94813120,-941800890
,66,2018/03/15 00:39:14.39,-500600381,75313835,94765901,-942161354
,67,2018/03/15 00:39:14.41,-499752586,75084465,94613077,-942644975
,68,2018/03/15 00:39:14.43,-499224956,75000536,94482565,-942944280
,69,2018/03/15 00:39:14.45,-498697051,74882013,94321114,-943249156
,70,2018/03/15 00:39:14.47,-498112426,74703946,94123757,-943591838
,71,2018/03/15 00:39:14.49,-497492432,74561638,93980220,-943944420
,72,2018/03/15 00:39:14.51,-496904394,74642054,93936043,-944252145
,73,2018/03/15 00:39:14.53,-496402899,74976466,94054891,-944477568
,74,2018/03/15 00:39:14.55,-495992834,75317397,94318061,-944639618
,75,2018/03/15 00:39:14.57,-495666616,75615820,94691196,-944749669
,76,2018/03/15 00:39:14.59,-495416019,75846504,95046404,-944826949
,77,2018/03/15 00:39:14.61,-495185708,76060911,95251314,-944909809
,78,2018/03/15 00:39:14.63,-494901885,76139388,95274154,-945049872
